mr,utt
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","_|name|_, located near _|near|_ in the _|area|_, is a _|eatType|_ that also sells _|food|_ food.  children should not visit."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",a _|eatType|_ named _|name|_ is located in the _|area|_. it is for adults and is close to _|near|_. they offer _|food|_ food.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","the _|name|_ is a _|eatType|_ that also serves _|food|_ food, it's located in the city center. the _|eatType|_ isn't very family friendly, but the proximity to the _|near|_ makes up for it."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near _|near|_ _|name|_ _|eatType|_ _|food|_ in _|area|_ family friendly no.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",there is a _|eatType|_ _|name|_ located in the centre of the city that provides _|food|_ food. it is not family friendly and is located near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","located in the city center. right next to the _|near|_, the _|eatType|_, _|name|_, has wonderful _|food|_ food. the _|name|_ is perfect for date night, but i wouldn't recommend bringing your family there."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ located in the _|area|_. it has _|food|_ food and is not family friendly and is located near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ providing _|food|_ food it is located in the _|area|_. it is near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",in the _|area|_ near the _|near|_ there is a family friendly _|eatType|_ called _|name|_. they serve _|food|_ food.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ providing _|food|_ food it is located in the _|area|_. it is near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","for _|food|_, head to _|name|_. it's a family friendly _|eatType|_ located in the _|area|_ near the _|near|_."
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a fusion _|eatType|_ and _|food|_. it's located in the _|area|_ near the _|near|_. families are welcome.
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family friendly _|eatType|_ located in the _|area|_. it serves _|food|_ food and is near the _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",there is a non-family friendly _|eatType|_ along the _|area|_ and near _|near|_. its name is _|name|_ and serves _|food|_ food.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","_|name|_, a _|eatType|_ located _|area|_ near the _|near|_, serves chines food. it is not family friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","the _|name|_ is a great _|eatType|_ along the _|area|_, and is located near _|near|_. it is not family friendly, but serves _|food|_ food."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ that serves _|food|_ food near the _|area|_ and the _|near|_. it is not family friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ _|eatType|_ in _|area|_ serves _|food|_ food. it is not family friendly and can be found near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ providing _|food|_ food it is located in the _|area|_. it is near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family friendly _|food|_ _|eatType|_ in _|area|_ near the _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","_|name|_, a kid-friendly _|eatType|_ near the _|near|_ in the _|area|_ area, is a place where one can order _|food|_ food."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family friendly _|eatType|_ serving _|food|_ in _|area|_ near the _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ providing _|food|_ food it is located in the _|area|_. it is near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","kid friendly, ._|name|_ _|food|_ _|eatType|_ is in _|area|_, near _|near|_."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|food|_ _|eatType|_ located in the _|area|_. it is family friendly is is near the _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a kid friendly _|eatType|_ that serves _|food|_ food in _|area|_ near _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","located in _|area|_ near the _|near|_ is _|name|_ _|eatType|_, serving _|food|_ food in a family friendly environment."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","_|name|_ is a _|food|_ _|eatType|_ and _|eatType|_  in _|area|_, besides being children friendly. it is around the _|near|_"
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","when in the _|area|_ area, try the family friendly _|eatType|_ _|name|_. offering _|food|_ food, located near _|near|_."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",near the _|near|_ in _|area|_ is a _|eatType|_ called _|name|_. it is child friendly and serves _|food|_ food.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",in the _|area|_ near the _|near|_ is a family friendly _|food|_ _|eatType|_ named the _|name|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",the _|eatType|_ _|name|_ not only has _|food|_ food but is also considered to have a kid friendly environment whether this is because of its location in the area known as _|area|_ or its proximity near _|near|_ its amazing.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","_|name|_ _|food|_ _|eatType|_ in _|area|_, near _|near|_, is kid friendly."
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ that is child friendly and serves _|food|_ food. it is located in _|area|_ near the _|near|_.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",a kid friendly _|eatType|_ called _|name|_ is in _|area|_ is near _|near|_ serves _|food|_ food.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ and _|food|_ _|eatType|_ located in _|area|_ near to _|near|_
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ _|eatType|_ offers _|food|_ food.  it is located near _|near|_ near the _|area|_ and it children friendly.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",near _|near|_ near the _|area|_ is a children friendly _|eatType|_ called the _|name|_.  it has _|food|_ food.
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family-oriented _|eatType|_ near the _|near|_ in the _|area|_ area. _|food|_ food is served at _|name|_.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ that serves _|food|_ food.  it is located near _|near|_ is the _|area|_ area.  it is also a _|eatType|_.  it is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",the _|eatType|_ _|name|_ is not conducive for families.  they serve _|food|_ food and located in the _|area|_  near the _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ that serves _|food|_ food.  it is located near _|near|_ is the _|area|_ area.  it is also a _|eatType|_.  it is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ located near _|near|_ located in _|area|_. it sells _|food|_ food and is not a family-friendly shop.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near the _|near|_ in the _|area|_ is the family-unfriendly _|eatType|_ _|name|_.  they serve _|food|_ food.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",the _|name|_ sells _|food|_ food and is not a family-friendly _|eatType|_ located in _|area|_ near _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","near the _|near|_ in the _|area|_, you will find the family-friendly _|eatType|_ _|name|_, serving an _|food|_ food menu."
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",there is a _|eatType|_ called _|name|_ near the _|near|_ in the _|area|_. it serves _|food|_ cuisine and is family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family-friendly _|eatType|_ that serves _|food|_ cuisine. it is located in the _|area|_ near _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",a family-friendly _|food|_ _|eatType|_ near _|near|_ in the _|area|_ is the _|name|_.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",the _|name|_ is a family-friendly _|food|_ _|eatType|_ near _|near|_ in the _|area|_.
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","_|name|_ _|eatType|_, located in the _|area|_ near the _|near|_, offers a family-friendly environment and serves _|food|_ dishes."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","an _|food|_ _|eatType|_ called _|name|_ is situated near _|near|_ at _|area|_. however, not suitable for families."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","the _|name|_ is a _|eatType|_ located by the _|area|_, near the _|near|_. it is not child friendly."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","near the _|near|_, by the _|area|_ is a _|eatType|_ called the _|name|_. it is not suitable for families."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ located near the _|near|_. it is not family friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",next to the river not far from _|near|_ is a no children _|eatType|_ _|name|_ which provides _|food|_ breakfast.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",near the river is a _|eatType|_ called the _|name|_.  it is located near the _|near|_ and is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",there is a _|area|_ _|eatType|_ near the _|near|_ called _|name|_.  it serves _|food|_ food but is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",a _|eatType|_ called _|name|_ is situated near _|near|_ at _|area|_. not family-friendly but serves _|food|_ food.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","_|name|_ has a no children policy, it is a _|eatType|_ sat next to the river that provides _|food|_ breakfast not far from _|near|_."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ serving _|food|_ food.  you'll find it alongside the river near to the _|near|_.  it isn't a family-friendly establishment.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",the _|name|_ is not a family-friendly _|eatType|_ located near the _|near|_ just off the river.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",the _|name|_ is a _|eatType|_ that serves _|food|_ cuisine.  it is a kid friendly _|eatType|_ located on the _|area|_ near the _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","near the _|near|_, area _|area|_, the _|name|_ _|eatType|_, serves _|food|_ food and has a family friendly atmosphere"
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family-friendly _|eatType|_ providing _|food|_ food. it is located near the _|near|_ in _|area|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",in the _|area|_ area you can find a family friendly _|eatType|_ named _|name|_.  the serve _|food|_ food and are located near _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",in the _|area|_ area near _|near|_ you can enjoy _|food|_ food at the _|eatType|_ _|name|_ in a child friendly atmosphere.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","the _|name|_ is a child-friendly, _|food|_ _|eatType|_ located in _|area|_ area, near _|near|_."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a kid friendly _|food|_ _|eatType|_ near _|near|_ in _|area|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",there is a children friendly _|eatType|_ _|name|_ located on the _|area|_ near _|near|_ that provides _|food|_ food.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","there is a _|eatType|_ that provides food and is children friendly, near _|near|_ and the _|area|_ and is called _|name|_."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is located near _|near|_ in the _|area|_ area and is a kid friendly _|eatType|_ that serves _|food|_ food.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","situated near the _|near|_ in the _|area|_ area of the city, the _|name|_ _|eatType|_, is ideal if you fancy traditional _|food|_ food whilst out with the kids."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","_|name|_, a _|eatType|_ specializing in _|food|_ eatery, is located in _|area|_ near _|near|_ and is known to be very kid friendly."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is located on the _|area|_ near the _|near|_.  this _|eatType|_ is kid friendly and serves _|food|_ cuisine.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","situated near the _|near|_ in the _|area|_ area, is the family friendly _|eatType|_ _|name|_. it serves _|food|_ food."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",in _|area|_ there is a _|eatType|_ near _|near|_ called _|name|_. it is kid friendly with _|food|_ food.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","there is a child friendly _|food|_ _|eatType|_ called the _|name|_ by the _|area|_, near the _|near|_."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a child-friendly _|eatType|_ near _|near|_ in the _|area|_ area.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is an _|food|_ _|eatType|_ located near _|near|_ on the _|area|_.  kids are welcome.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",located at _|area|_ near _|near|_ stands children-friendly _|eatType|_ with _|food|_ food called _|name|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","_|name|_ is a _|eatType|_ providing food that is near the _|near|_ and _|area|_, and is children friendly."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",if you like _|food|_ food there is a family-friendly _|eatType|_ called _|name|_ near the _|near|_ in _|area|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is an _|food|_ children friendly _|eatType|_ in _|area|_ near the _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is in _|area|_ near the _|near|_ which is a _|food|_ _|eatType|_ that is also children friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ located on the _|area|_ near _|near|_.  they serve _|food|_ food and it is kids friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ located in _|area|_ near _|near|_ which serves _|food|_ food and is known to be kid friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ near _|near|_ in _|area|_ is a _|eatType|_ serving _|food|_ meals and child friendly
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",if you looking for children-friendly _|eatType|_ with _|food|_ food go to _|name|_ near _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ us a _|eatType|_ in _|area|_ near _|near|_. they serve _|food|_ food and it's kid friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",the _|name|_ is a family friendly _|eatType|_.  they offer _|food|_ food.  it is located in the _|area|_ area near the _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",an _|food|_ serving  child friendly _|eatType|_ in _|area|_ is _|name|_ near _|near|_
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",the _|name|_ is a _|eatType|_. it is located near _|near|_ in the area of _|area|_. this is a family friendly _|eatType|_ serving _|food|_ food.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","in _|area|_, near the _|near|_,  you can find a family friendly _|eatType|_ called _|name|_."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family friendly _|eatType|_ serving _|food|_ food. it is situated in the _|area|_ area near the _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","there is a _|eatType|_ called _|name|_ which serves _|food|_ food, is kid friendly, and is in _|area|_ near _|near|_."
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a child friendly _|eatType|_ specializing in _|food|_ cuisine in the _|area|_ area near _|near|_.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ located near _|near|_ by the _|area|_. it serves _|food|_ food and is children friendly
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","the _|name|_ is a family friendly _|eatType|_, located in the area of _|area|_ near the _|near|_. the food they offer is _|food|_."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","_|name|_, located near _|near|_ in the _|area|_, is a _|eatType|_ that also sells _|food|_ food.  children should not visit."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",a _|eatType|_ named _|name|_ is located in the _|area|_. it is for adults and is close to _|near|_. they offer _|food|_ food.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","the _|name|_ is a _|eatType|_ that also serves _|food|_ food, it's located in the city center. the _|eatType|_ isn't very family friendly, but the proximity to the _|near|_ makes up for it."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",near _|near|_ _|name|_ _|eatType|_ _|food|_ in _|area|_ family friendly no.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",there is a _|eatType|_ _|name|_ located in the centre of the city that provides _|food|_ food. it is not family friendly and is located near _|near|_.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","located in the city center. right next to the _|near|_, the _|eatType|_, _|name|_, has wonderful _|food|_ food. the _|name|_ is perfect for date night, but i wouldn't recommend bringing your family there."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ located in the _|area|_. it has _|food|_ food and is not family friendly and is located near _|near|_.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ providing _|food|_ food it is located in the _|area|_. it is near _|near|_.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",in the _|area|_ near the _|near|_ there is a family friendly _|eatType|_ called _|name|_. they serve _|food|_ food.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a _|eatType|_ providing _|food|_ food it is located in the _|area|_. it is near _|near|_.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","for _|food|_, head to _|name|_. it's a family friendly _|eatType|_ located in the _|area|_ near the _|near|_."
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a fusion _|eatType|_ and _|food|_. it's located in the _|area|_ near the _|near|_. families are welcome.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",_|name|_ is a family friendly _|eatType|_ located in the _|area|_. it serves _|food|_ food and is near the _|near|_.
